2014/07/14 00:36:20 - 16583 - ajx.login.php - SQL: ERROR: 1054 - Unknown column 'usuarios.idUsuario' in 'field list' - sql: SELECT usuarios.idUsuario AS 'id'
FROM usuarios 
WHERE usuarios.usuario = 'd'
AND usuarios.password = MD5('1')
LIMIT 1
2014/07/14 00:36:27 - 23391 - ajx.login.php - SQL: ERROR: 1054 - Unknown column 'usuarios.idUsuario' in 'field list' - sql: SELECT usuarios.idUsuario AS 'id'
FROM usuarios 
WHERE usuarios.usuario = 'admin'
AND usuarios.password = MD5('admin')
LIMIT 1
2014/07/14 00:49:43 - 6715 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 00:50:31 - 32214 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 00:51:34 - 17662 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 00:57:27 - 6111 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 01:07:39 - 22031 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 01:10:55 - 8282 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 01:19:40 - 32214 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 01:23:06 - 17662 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 01:32:01 - 2337 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 01:35:28 - 22021 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
2014/07/14 01:41:47 - 17662 - ajx.login.php - SQL: ERROR: 1146 - Table 'brasil_ithealth_com_ar_testAriel.log_ingresos' doesn't exist - sql: INSERT INTO log_ingresos (id_usuario, fecha_ingreso, remote_addr) VALUES ('5', NOW(), '186.23.30.68')
